run_id,group,model,width,num_heads,core_parameters,puzzle_parameters,lr,weight_decay,noise_scale,seed,peak_exact,peak_step,last_exact,last_step,first_99_step,partition,nodes,world_size,dp_size,local_batch_size,gradient_accumulation,global_batch_size,sequence_length,global_tokens_per_step,config,source_logs,source_sha256
trmh42-lrwd24-g0-s0,trm_h42,TRM,42,3,39902,42,0.0001,0,0,0,0.0,5000,0.0,150000,,lowprio,1,1,1,768,1,768,900,691200,trm-h42-lrwd-20260911/outputs/trmh42-lrwd24-g0-s0/2026-9-11/6-47-10/all_config.yaml,trm-h42-lrwd-20260911/slurm/trm-h42-39902p-maze30-lrwd150k-gbs768-2380021_0.out,bf9383e0fc032f981f5509cd68edf625592cbc33cce2820537854ddc1586aaf7
trmh42-lrwd24-g1-s0,trm_h42,TRM,42,3,39902,42,0.0001,0.1,0,0,0.0,5000,0.0,150000,,lowprio,1,1,1,768,1,768,900,691200,trm-h42-lrwd-20260911/outputs/trmh42-lrwd24-g1-s0/2026-9-11/6-47-6/all_config.yaml,trm-h42-lrwd-20260911/slurm/trm-h42-39902p-maze30-lrwd150k-gbs768-2380021_1.out,8187faa6548b0d6806ed582de0612648e8a3a1c9fe5dba557fc63a620cdf4ce2
trmh42-lrwd24-g2-s0,trm_h42,TRM,42,3,39902,42,0.0001,0.5,0,0,0.0,5000,0.0,150000,,lowprio,1,1,1,768,1,768,900,691200,trm-h42-lrwd-20260911/outputs/trmh42-lrwd24-g2-s0/2026-9-11/6-53-20/all_config.yaml,trm-h42-lrwd-20260911/slurm/trm-h42-39902p-maze30-lrwd150k-gbs768-2380021_2.out,037b3680184b7932e126876b7cce69056e50b0f19edca83832033679b79cb4dd
trmh42-lrwd24-g3-s0,trm_h42,TRM,42,3,39902,42,0.0001,1.0,0,0,0.0,5000,0.0,150000,,lowprio,1,1,1,768,1,768,900,691200,trm-h42-lrwd-20260911/outputs/trmh42-lrwd24-g3-s0/2026-9-11/6-53-20/all_config.yaml,trm-h42-lrwd-20260911/slurm/trm-h42-39902p-maze30-lrwd150k-gbs768-2380021_3.out,5d1dcb3f795f25abad0fe68e9d7fd86a02aa7e362e84d129aef3dcd02ed5a181
trmh42-lrwd24-g4-s0,trm_h42,TRM,42,3,39902,42,0.0002,0,0,0,0.0,5000,0.0,150000,,lowprio,1,1,1,768,1,768,900,691200,trm-h42-lrwd-20260911/outputs/trmh42-lrwd24-g4-s0/2026-9-11/6-53-20/all_config.yaml,trm-h42-lrwd-20260911/slurm/trm-h42-39902p-maze30-lrwd150k-gbs768-2380021_4.out,d0108a53f560f509901619dcb859b890268d5f03eb394fa2b49ccf392e52bcd0
trmh42-lrwd24-g5-s0,trm_h42,TRM,42,3,39902,42,0.0002,0.1,0,0,0.009,150000,0.009,150000,,lowprio,1,1,1,768,1,768,900,691200,trm-h42-lrwd-20260911/outputs/trmh42-lrwd24-g5-s0/2026-9-11/6-53-20/all_config.yaml,trm-h42-lrwd-20260911/slurm/trm-h42-39902p-maze30-lrwd150k-gbs768-2380021_5.out,2bf1f18eefc0c2a905330e9d4a245c42dba87b9d76cce0c1cfae4e62d518733b
trmh42-lrwd24-g6-s0,trm_h42,TRM,42,3,39902,42,0.0002,0.5,0,0,0.0,5000,0.0,150000,,lowprio,1,1,1,768,1,768,900,691200,trm-h42-lrwd-20260911/outputs/trmh42-lrwd24-g6-s0/2026-9-11/6-55-25/all_config.yaml,trm-h42-lrwd-20260911/slurm/trm-h42-39902p-maze30-lrwd150k-gbs768-2380021_6.out,88688f6eca1c1d75b30ae659c797fee948ef769a5663c4b66e08769bb9217b6b
trmh42-lrwd24-g7-s0,trm_h42,TRM,42,3,39902,42,0.0002,1.0,0,0,0.0,5000,0.0,150000,,lowprio,1,1,1,768,1,768,900,691200,trm-h42-lrwd-20260911/outputs/trmh42-lrwd24-g7-s0/2026-9-11/6-55-25/all_config.yaml,trm-h42-lrwd-20260911/slurm/trm-h42-39902p-maze30-lrwd150k-gbs768-2380021_7.out,0b485331086fb4dc524fc48968e861c76e6c784e14b1e2dd6b8978081a2380b0
trmh42-lrwd24-g8-s0,trm_h42,TRM,42,3,39902,42,0.0003,0,0,0,0.0,5000,0.0,150000,,lowprio,1,1,1,768,1,768,900,691200,trm-h42-lrwd-20260911/outputs/trmh42-lrwd24-g8-s0/2026-9-11/6-55-57/all_config.yaml,trm-h42-lrwd-20260911/slurm/trm-h42-39902p-maze30-lrwd150k-gbs768-2380021_8.out,8feb4c21f74f09b8604dddaade436f65a3d3a443b2c1e4440ce86b1e96f492f9
trmh42-lrwd24-g9-s0,trm_h42,TRM,42,3,39902,42,0.0003,0.1,0,0,0.005,150000,0.005,150000,,lowprio,1,1,1,768,1,768,900,691200,trm-h42-lrwd-20260911/outputs/trmh42-lrwd24-g9-s0/2026-9-11/6-55-57/all_config.yaml,trm-h42-lrwd-20260911/slurm/trm-h42-39902p-maze30-lrwd150k-gbs768-2380021_9.out,8c22d593fdf60952ac90f56595d2c67f44d3fa585b7cfe50fe725ef0355ff3fe
trmh42-lrwd24-g10-s0,trm_h42,TRM,42,3,39902,42,0.0003,0.5,0,0,0.001,115000,0.001,150000,,lowprio,1,1,1,768,1,768,900,691200,trm-h42-lrwd-20260911/outputs/trmh42-lrwd24-g10-s0/2026-9-11/6-56-27/all_config.yaml,trm-h42-lrwd-20260911/slurm/trm-h42-39902p-maze30-lrwd150k-gbs768-2380021_10.out,da44448f500062eac6508d440654f9713f10afd794d9a7801cff807b94256435
trmh42-lrwd24-g11-s0,trm_h42,TRM,42,3,39902,42,0.0003,1.0,0,0,0.0,5000,0.0,150000,,lowprio,1,1,1,768,1,768,900,691200,trm-h42-lrwd-20260911/outputs/trmh42-lrwd24-g11-s0/2026-9-11/6-56-27/all_config.yaml,trm-h42-lrwd-20260911/slurm/trm-h42-39902p-maze30-lrwd150k-gbs768-2380021_11.out,68957b5461118e1d491638924ad7cc317881da8fba141baac719d687e34d7179
trmh42-lrwd24-g12-s0,trm_h42,TRM,42,3,39902,42,0.0005,0,0,0,0.489,145000,0.466,150000,,lowprio,1,1,1,768,1,768,900,691200,trm-h42-lrwd-20260911/outputs/trmh42-lrwd24-g12-s0/2026-9-11/6-56-27/all_config.yaml,trm-h42-lrwd-20260911/slurm/trm-h42-39902p-maze30-lrwd150k-gbs768-2380021_12.out,66f3e4c5dd52e1c041b523c924b8da34fbf7a54c48708fdb7ca17cc4d3e77f7c
trmh42-lr0-s0,trm_h42,TRM,42,3,39902,42,0.0005,0.1,0,0,0.865,145000,0.533,150000,,lowprio,1,1,1,768,1,768,900,691200,maze-baselines-42k-20260903/outputs/trmh42-lr0-s0/2026-9-11/6-57-32/all_config.yaml,maze-baselines-42k-20260903/slurm/maze-unique-trm-h42-lr-sweep-2339952_0.out;trm-h42-lrwd-20260911/slurm/trm-h42-39902p-maze30-lrwd150k-gbs768-2380021_13.out,481604b614689ff5a2887700634daa96998f9e68dabc870eb4958322d2b22882;c73fe24d40e033b52073b54bc2527edf64ddfa6564784c85517d0808a6d2c226
trmh42-lrwd24-g14-s0,trm_h42,TRM,42,3,39902,42,0.0005,0.5,0,0,0.011,145000,0.008,150000,,lowprio,1,1,1,768,1,768,900,691200,trm-h42-lrwd-20260911/outputs/trmh42-lrwd24-g14-s0/2026-9-11/6-57-32/all_config.yaml,trm-h42-lrwd-20260911/slurm/trm-h42-39902p-maze30-lrwd150k-gbs768-2380021_14.out,a4ec7b78e503dc5cc624d106bfefff672e00809e1d387c567ec7af9bc0c106cc
trmh42-lrwd24-g15-s0,trm_h42,TRM,42,3,39902,42,0.0005,1.0,0,0,0.0,5000,0.0,150000,,lowprio,1,1,1,768,1,768,900,691200,trm-h42-lrwd-20260911/outputs/trmh42-lrwd24-g15-s0/2026-9-11/6-57-32/all_config.yaml,trm-h42-lrwd-20260911/slurm/trm-h42-39902p-maze30-lrwd150k-gbs768-2380021_15.out,1dad00ff2b6ba97ebd167fc27144efe0575424e9b97aa7146cef5b7bf143f3c7
trmh42-lrwd24-g16-s0,trm_h42,TRM,42,3,39902,42,0.00075,0,0,0,0.0,5000,0.0,150000,,lowprio,1,1,1,768,1,768,900,691200,trm-h42-lrwd-20260911/outputs/trmh42-lrwd24-g16-s0/2026-9-11/6-57-32/all_config.yaml,trm-h42-lrwd-20260911/slurm/trm-h42-39902p-maze30-lrwd150k-gbs768-2380021_16.out,9609b98bbc75b725cd0f0e767c794f692daf890f12ba04b07115cde6539bd911
trmh42-lrwd24-g17-s0,trm_h42,TRM,42,3,39902,42,0.00075,0.1,0,0,0.0,5000,0.0,150000,,lowprio,1,1,1,768,1,768,900,691200,trm-h42-lrwd-20260911/outputs/trmh42-lrwd24-g17-s0/2026-9-11/6-57-32/all_config.yaml,trm-h42-lrwd-20260911/slurm/trm-h42-39902p-maze30-lrwd150k-gbs768-2380021_17.out,a55f8cf30ce23fd196dbf22d7bdcf5ef099468ba6553efedf2c8c4e767d23249
trmh42-lrwd24-g18-s0,trm_h42,TRM,42,3,39902,42,0.00075,0.5,0,0,0.0,5000,0.0,150000,,lowprio,1,1,1,768,1,768,900,691200,trm-h42-lrwd-20260911/outputs/trmh42-lrwd24-g18-s0/2026-9-11/6-57-27/all_config.yaml,trm-h42-lrwd-20260911/slurm/trm-h42-39902p-maze30-lrwd150k-gbs768-2380021_18.out,0876afd63a34fc7f6f6fd6566b344a737ab9e6e92c1a59d3072966fe904360af
trmh42-lrwd24-g19-s0,trm_h42,TRM,42,3,39902,42,0.00075,1.0,0,0,0.0,5000,0.0,150000,,lowprio,1,1,1,768,1,768,900,691200,trm-h42-lrwd-20260911/outputs/trmh42-lrwd24-g19-s0/2026-9-11/6-57-27/all_config.yaml,trm-h42-lrwd-20260911/slurm/trm-h42-39902p-maze30-lrwd150k-gbs768-2380021_19.out,3f87b4f41b9920f5915cbd6f25ecca773e4bd0ace38924a22fa76592f524fcef
trmh42-lrwd24-g20-s0,trm_h42,TRM,42,3,39902,42,0.001,0,0,0,0.004,140000,0.004,150000,,lowprio,1,1,1,768,1,768,900,691200,trm-h42-lrwd-20260911/outputs/trmh42-lrwd24-g20-s0/2026-9-11/6-57-27/all_config.yaml,trm-h42-lrwd-20260911/slurm/trm-h42-39902p-maze30-lrwd150k-gbs768-2380021_20.out,74530604b9f1d3ad9a4a627284c69b686635b995faca4c006db3383738f6e917
trmh42-lr1-s0,trm_h42,TRM,42,3,39902,42,0.001,0.1,0,0,0.894,150000,0.894,150000,,lowprio,1,1,1,768,1,768,900,691200,maze-baselines-42k-20260903/outputs/trmh42-lr1-s0/2026-9-11/6-57-29/all_config.yaml,maze-baselines-42k-20260903/slurm/maze-unique-trm-h42-lr-sweep-2339952_1.out;trm-h42-lrwd-20260911/slurm/trm-h42-39902p-maze30-lrwd150k-gbs768-2380021_21.out,eaf53f0a8fbe00493c5b9fcbed4573b241bbdbce3d2c996af4d8ccba23dc4ae0;1f4d931cbfa36f346fbeb06e95127b0ac069d20e1aba15ebe2959b590707f4ac
trmh42-lrwd24-g22-s0,trm_h42,TRM,42,3,39902,42,0.001,0.5,0,0,0.0,5000,0.0,150000,,lowprio,1,1,1,768,1,768,900,691200,trm-h42-lrwd-20260911/outputs/trmh42-lrwd24-g22-s0/2026-9-11/6-57-29/all_config.yaml,trm-h42-lrwd-20260911/slurm/trm-h42-39902p-maze30-lrwd150k-gbs768-2380021_22.out,05e5bc13979b40423921f6ae10e7e4167bfccd5cd0ec457fe96ac95a1bf5e8a3
trmh42-lrwd24-g23-s0,trm_h42,TRM,42,3,39902,42,0.001,1.0,0,0,0.0,5000,0.0,150000,,lowprio,1,1,1,768,1,768,900,691200,trm-h42-lrwd-20260911/outputs/trmh42-lrwd24-g23-s0/2026-9-11/6-57-30/all_config.yaml,trm-h42-lrwd-20260911/slurm/trm-h42-39902p-maze30-lrwd150k-gbs768-2380021_23.out,1382dfa0cd4d52e2526fe07578cb5fa1bac2b037ab1332fba4e13ea15adf9989
h42b0750,eqr_h42,EqR,42,3,39902,42,0.00075,0.1,0.01,0,0.0,5000,0.0,150000,,lowprio,1,1,1,768,1,768,900,691200,hmin-boundary-20260902/outputs/h42b0750/2026-9-2/20-40-31/all_config.yaml,hmin-boundary-20260902/slurm/eqr-maze-unique-h42-nh3-fine-lr-sweep-2300849_0.out,04e9fc6aab264ecba10e7bcdf4b7a70ffd4278e8e8080142e595a8fd26ff9dfd
h42b1000,eqr_h42,EqR,42,3,39902,42,0.001,0.1,0.01,0,0.986,115000,0.952,150000,,lowprio,1,1,1,768,1,768,900,691200,hmin-boundary-20260902/outputs/h42b1000/2026-9-2/20-41-0/all_config.yaml,hmin-boundary-20260902/slurm/eqr-maze-unique-h42-nh3-fine-lr-sweep-2300849_1.out,c7949fc832f89b3d03bda8d82cc99dc7c04436c6599bc6b550619d7463749fc8
h42b1250,eqr_h42,EqR,42,3,39902,42,0.00125,0.1,0.01,0,0.071,150000,0.071,150000,,lowprio,1,1,1,768,1,768,900,691200,hmin-boundary-20260902/outputs/h42b1250/2026-9-2/20-40-31/all_config.yaml,hmin-boundary-20260902/slurm/eqr-maze-unique-h42-nh3-fine-lr-sweep-2300849_2.out,11f085111e8d84283e114f9d5fcbfccf52cce165c7caa02fa9683d7fbb1235f3
h42b1500,eqr_h42,EqR,42,3,39902,42,0.0015,0.1,0.01,0,0.0,5000,0.0,150000,,lowprio,1,1,1,768,1,768,900,691200,hmin-boundary-20260902/outputs/h42b1500/2026-9-2/20-41-1/all_config.yaml,hmin-boundary-20260902/slurm/eqr-maze-unique-h42-nh3-fine-lr-sweep-2300849_3.out,6d0586ad74d7240b82c852c5cfeabb7b7e0c40a740c66de96ac8b42e606ff84c
rftgh738,eqr_width,EqR,36,2,33338,36,0.002,0.1,0.01,0,0.517,115000,0.465,150000,,lowprio,1,1,1,768,1,768,900,691200,hmin-boundary-20260901/outputs/rftgh738/2026-9-1/17-22-39/all_config.yaml,hmin-boundary-20260901/slurm/eqr-maze-unique-hmin-h36-h44-nh2-lr-retry-2289722_1.out;hmin-boundary-20260901/slurm/eqr-maze-unique-hmin-h36-h44-resume-2289916_1.out,4c00a37899669018a30fa0a18593402870370a54c73951a28403bb805f4b325e;1f6abd3a62bf25d61ea352f10ce508254b3424d712c08503a1769b71cc1158f3
wt9d62n5,eqr_width,EqR,40,2,37682,40,0.003,0.1,0.01,0,0.848,125000,0.776,150000,,lowprio,1,1,1,768,1,768,900,691200,hmin-boundary-20260901/outputs/wt9d62n5/2026-9-1/16-33-44/all_config.yaml,hmin-boundary-20260901/slurm/eqr-maze-unique-hmin-h36-h44-nh2-lr-retry-2289722_6.out;hmin-boundary-20260901/slurm/eqr-maze-unique-hmin-h36-h44-resume-2289916_6.out,829f3e4fa926c9d6aa3102eaa729d0e7afc42e80947c3ee6d3ab6cbfba5bc16f;9e747d9b1cf5120042c9d687a92ef769a975768aa304a631508f7af66e0693ef
sjtqd6ua,eqr_width,EqR,44,2,42154,44,0.001,0.1,0.01,0,0.996,150000,0.996,150000,115000,lowprio,1,1,1,768,1,768,900,691200,hmin-boundary-20260901/outputs/sjtqd6ua/2026-9-1/17-16-17/all_config.yaml,hmin-boundary-20260901/slurm/eqr-maze-unique-hmin-h36-h44-nh2-lr-retry-2289722_8.out;hmin-boundary-20260901/slurm/eqr-maze-unique-hmin-h36-h44-resume-2289916_8.out,54d3a1ce6964c83a879f34a47891e95daef8a9b609db92b4bbca28a8b4604316;4b7583b645457737c5e69d4eacdad8fb1b753666ac25ab41ba96f5602a10ea0c
trm42k-lr1-s0,trm_h44,TRM,44,2,42154,44,0.001,0.1,0,0,0.994,95000,0.994,95000,95000,lowprio,1,1,1,768,1,768,900,691200,maze-baselines-42k-20260903/outputs/trm42k-lr1-s0/2026-9-4/15-46-45/all_config.yaml,maze-baselines-42k-20260903/slurm/maze-unique-42k-trm-hrm-lr-sweep-2314672_1.out;maze-baselines-42k-20260903/slurm/maze-unique-42k-trm-hrm-full-lr-cont-2319294_1.out,194ecdbe806c5e9709acf207a2f5872ae978b8ccb69d62d4aa53d6b7687222b0;1469bc007436463bfff0800aa933d6b3665e648e5989dab36f379fc90e56081c
eqr30-h128-gbs768-control-lr3e4-wd05-s0,eqr_h128_control,EqR,128,8,263938,128,0.0003,0.5,0.1,0,1.0,100000,1.0,100000,35000,lowprio,1,4,4,192,1,768,900,691200,maze32-paper-model-gbs768/outputs/eqr30-h128-gbs768-control-lr3e4-wd05-s0/2026-9-9/0-1-4/all_config.yaml,maze32-paper-model-gbs768/slurm/eqr-h128-maze30-gbs768-lr3e-4-wd05-control150k-2359835_0.out,a003a1d91ff15a88f6172f4963b8f70005447da5c1bdb410b4883557f52b7f22
